transfer_id,request_id,source_organization_id,destination_organization_id,status,priority,pickup_time,dispatch_time,expected_arrival,actual_arrival,route_distance_km,route_duration_minutes
TRF_00016,REQ_00070,BB_A,HOSP_B,IN_TRANSIT,URGENT,2024-04-02 14:00:00,2024-04-02 14:40:00,2024-04-02 14:54:00,,7.7,14
TRF_00017,REQ_00116,HOSP_D,HOSP_C,IN_TRANSIT,URGENT,2023-03-25 08:00:00,2023-03-25 08:22:00,2023-03-25 10:14:00,,46.8,112
TRF_00018,REQ_00155,HOSP_D,HOSP_E,READY_FOR_PICKUP,ROUTINE,2022-03-08 12:00:00,2022-03-08 12:55:00,2022-03-08 14:45:00,,67.4,110
TRF_00019,REQ_00012,HOSP_D,HOSP_B,DELIVERED,URGENT,2023-09-25 07:00:00,2023-09-25 07:40:00,2023-09-25 10:32:00,2023-09-25 10:45:00,73.7,172
TRF_00020,REQ_00126,HOSP_C,HOSP_B,IN_TRANSIT,ROUTINE,2022-10-20 13:00:00,2022-10-20 13:52:00,2022-10-20 15:44:00,,38.2,112
TRF_00021,REQ_00047,HOSP_B,HOSP_C,CANCELLED,EMERGENCY,2024-09-06 17:00:00,2024-09-06 17:42:00,2024-09-06 19:39:00,,71.5,117
TRF_00022,REQ_00047,HOSP_E,HOSP_B,VERIFIED,ROUTINE,2024-09-14 07:00:00,2024-09-14 07:19:00,2024-09-14 09:27:00,2024-09-14 09:54:00,47.8,128
TRF_00023,REQ_00097,HOSP_E,HOSP_B,IN_TRANSIT,URGENT,2022-02-23 13:00:00,2022-02-23 13:34:00,2022-02-23 14:04:00,,22.2,30
TRF_00024,REQ_00017,BB_B,HOSP_C,VERIFIED,URGENT,2024-07-13 12:00:00,2024-07-13 12:48:00,2024-07-13 14:29:00,2024-07-13 14:25:00,58.8,101
TRF_00025,REQ_00038,BB_A,HOSP_C,PREPARING,URGENT,2024-03-08 07:00:00,,2024-03-08 10:18:00,,52.6,153
TRF_00026,REQ_00060,HOSP_D,HOSP_E,VERIFIED,EMERGENCY,2022-11-29 17:00:00,2022-11-29 17:13:00,2022-11-29 19:22:00,2022-11-29 19:48:00,75.1,129
TRF_00027,REQ_00022,HOSP_C,BB_B,CANCELLED,ROUTINE,2024-03-07 13:00:00,2024-03-07 13:40:00,2024-03-07 15:19:00,,54.8,99
TRF_00028,REQ_00111,HOSP_E,HOSP_A,READY_FOR_PICKUP,URGENT,2022-10-17 06:00:00,2022-10-17 06:19:00,2022-10-17 07:17:00,,45.6,58
TRF_00029,REQ_00145,HOSP_B,BB_B,IN_TRANSIT,ROUTINE,2022-02-25 06:00:00,2022-02-25 06:24:00,2022-02-25 07:56:00,,76.1,92
TRF_00030,REQ_00086,HOSP_E,HOSP_C,IN_TRANSIT,URGENT,2022-09-13 18:00:00,2022-09-13 18:35:00,2022-09-13 19:54:00,,38.4,79
TRF_00031,REQ_00023,HOSP_B,BB_A,IN_TRANSIT,URGENT,2022-12-03 16:00:00,2022-12-03 16:57:00,2022-12-03 19:20:00,,71.4,143
TRF_00032,REQ_00170,HOSP_E,HOSP_C,IN_TRANSIT,ROUTINE,2022-01-24 17:00:00,2022-01-24 17:31:00,2022-01-24 18:59:00,,36.8,88
TRF_00033,REQ_00071,HOSP_B,BB_A,IN_TRANSIT,ROUTINE,2022-05-17 12:00:00,2022-05-17 12:46:00,2022-05-17 13:17:00,,25.4,31
TRF_00034,REQ_00057,HOSP_E,HOSP_C,CANCELLED,URGENT,2022-01-30 09:00:00,2022-01-30 09:16:00,2022-01-30 09:25:00,,7.1,9
TRF_00035,REQ_00012,HOSP_A,HOSP_C,DELIVERED,EMERGENCY,2023-06-09 11:00:00,2023-06-09 11:14:00,2023-06-09 11:25:00,2023-06-09 11:31:00,8.7,11
TRF_00036,REQ_00022,HOSP_E,HOSP_A,READY_FOR_PICKUP,ROUTINE,2024-02-01 12:00:00,2024-02-01 12:56:00,2024-02-01 14:18:00,,58.8,82
TRF_00037,REQ_00179,HOSP_D,BB_B,READY_FOR_PICKUP,URGENT,2024-02-05 13:00:00,2024-02-05 13:14:00,2024-02-05 13:51:00,,22.9,37
TRF_00038,REQ_00018,BB_B,HOSP_D,PREPARING,EMERGENCY,2024-01-05 15:00:00,,2024-01-05 16:24:00,,42.6,63
TRF_00039,REQ_00006,HOSP_A,HOSP_D,READY_FOR_PICKUP,URGENT,2023-04-27 18:00:00,2023-04-27 19:00:00,2023-04-27 19:17:00,,13.5,17
TRF_00040,REQ_00121,BB_B,HOSP_C,DELIVERED,ROUTINE,2024-09-25 09:00:00,2024-09-25 09:41:00,2024-09-25 11:25:00,2024-09-25 11:27:00,73.4,104
TRF_00041,REQ_00017,HOSP_D,BB_A,DELIVERED,ROUTINE,2023-02-16 14:00:00,2023-02-16 14:59:00,2023-02-16 15:12:00,2023-02-16 15:24:00,8.0,13
TRF_00042,REQ_00005,HOSP_E,HOSP_D,DELIVERED,URGENT,2022-02-27 06:00:00,2022-02-27 06:59:00,2022-02-27 08:11:00,2022-02-27 08:18:00,49.0,72
TRF_00043,REQ_00123,HOSP_A,HOSP_E,DELIVERED,EMERGENCY,2023-02-19 17:00:00,2023-02-19 17:46:00,2023-02-19 17:56:00,2023-02-19 18:11:00,5.8,10
TRF_00044,REQ_00080,HOSP_D,HOSP_A,IN_TRANSIT,ROUTINE,2024-10-26 12:00:00,2024-10-26 12:32:00,2024-10-26 13:35:00,,43.9,63
TRF_00045,REQ_00105,HOSP_E,HOSP_B,CANCELLED,URGENT,2022-06-17 07:00:00,2022-06-17 07:56:00,2022-06-17 09:38:00,,61.0,102
TRF_00046,REQ_00125,HOSP_E,BB_A,CANCELLED,ROUTINE,2024-07-11 17:00:00,2024-07-11 17:47:00,2024-07-11 19:28:00,,71.1,101
TRF_00047,REQ_00085,HOSP_B,HOSP_A,READY_FOR_PICKUP,ROUTINE,2024-05-25 07:00:00,2024-05-25 07:29:00,2024-05-25 08:00:00,,15.9,31
TRF_00048,REQ_00051,HOSP_D,HOSP_C,VERIFIED,EMERGENCY,2023-08-01 12:00:00,2023-08-01 12:57:00,2023-08-01 13:07:00,2023-08-01 13:36:00,5.2,10
TRF_00049,REQ_00024,HOSP_D,HOSP_E,PREPARING,ROUTINE,2023-07-05 13:00:00,,2023-07-05 15:33:00,,73.5,94
TRF_00050,REQ_00141,HOSP_E,BB_B,READY_FOR_PICKUP,URGENT,2024-07-13 13:00:00,2024-07-13 13:11:00,2024-07-13 15:05:00,,60.2,114
TRF_00051,REQ_00090,HOSP_B,HOSP_D,VERIFIED,EMERGENCY,2022-12-27 14:00:00,2022-12-27 14:26:00,2022-12-27 15:17:00,2022-12-27 15:40:00,27.7,51
TRF_00052,REQ_00027,HOSP_E,HOSP_B,CANCELLED,EMERGENCY,2023-09-17 17:00:00,2023-09-17 17:19:00,2023-09-17 19:18:00,,71.6,119
TRF_00053,REQ_00037,BB_A,HOSP_D,READY_FOR_PICKUP,ROUTINE,2022-07-08 10:00:00,2022-07-08 10:45:00,2022-07-08 11:04:00,,13.8,19
TRF_00054,REQ_00080,HOSP_E,HOSP_D,VERIFIED,URGENT,2023-03-30 06:00:00,2023-03-30 06:10:00,2023-03-30 06:22:00,2023-03-30 06:46:00,9.9,12
TRF_00055,REQ_00178,HOSP_D,BB_A,READY_FOR_PICKUP,ROUTINE,2022-08-26 16:00:00,2022-08-26 16:13:00,2022-08-26 16:32:00,,7.3,19
TRF_00056,REQ_00011,BB_B,HOSP_C,VERIFIED,EMERGENCY,2023-08-27 08:00:00,2023-08-27 08:31:00,2023-08-27 08:45:00,2023-08-27 09:01:00,10.0,14
TRF_00057,REQ_00109,HOSP_D,HOSP_B,PREPARING,EMERGENCY,2022-02-25 09:00:00,,2022-02-25 12:19:00,,78.4,176
TRF_00058,REQ_00041,HOSP_B,BB_B,DELIVERED,EMERGENCY,2022-01-16 14:00:00,2022-01-16 14:43:00,2022-01-16 15:43:00,2022-01-16 15:50:00,27.9,60
TRF_00059,REQ_00042,HOSP_A,BB_B,IN_TRANSIT,ROUTINE,2022-02-05 11:00:00,2022-02-05 11:20:00,2022-02-05 12:36:00,,55.4,76
TRF_00060,REQ_00038,HOSP_D,HOSP_B,CANCELLED,EMERGENCY,2024-02-02 10:00:00,2024-02-02 10:10:00,2024-02-02 11:17:00,,29.7,67
TRF_00061,REQ_00140,HOSP_D,HOSP_C,CANCELLED,URGENT,2024-07-23 16:00:00,2024-07-23 16:38:00,2024-07-23 18:26:00,,77.2,108
TRF_00062,REQ_00049,HOSP_E,BB_A,READY_FOR_PICKUP,ROUTINE,2024-11-09 10:00:00,2024-11-09 10:35:00,2024-11-09 11:21:00,,32.6,46
TRF_00063,REQ_00005,BB_B,HOSP_A,IN_TRANSIT,ROUTINE,2023-10-18 10:00:00,2023-10-18 10:18:00,2023-10-18 12:37:00,,65.9,139
TRF_00064,REQ_00021,HOSP_E,BB_B,DELIVERED,ROUTINE,2024-09-26 08:00:00,2024-09-26 08:20:00,2024-09-26 08:28:00,2024-09-26 08:56:00,7.0,8
TRF_00065,REQ_00145,HOSP_D,BB_B,IN_TRANSIT,URGENT,2023-02-12 12:00:00,2023-02-12 12:24:00,2023-02-12 13:44:00,,39.4,80
TRF_00066,REQ_00178,BB_B,HOSP_E,IN_TRANSIT,URGENT,2024-05-08 15:00:00,2024-05-08 15:37:00,2024-05-08 15:46:00,,5.1,9
TRF_00067,REQ_00143,BB_B,HOSP_D,DELIVERED,URGENT,2023-04-28 09:00:00,2023-04-28 09:19:00,2023-04-28 10:55:00,2023-04-28 10:52:00,70.1,96
TRF_00068,REQ_00141,HOSP_E,BB_B,CANCELLED,URGENT,2024-06-25 10:00:00,2024-06-25 10:27:00,2024-06-25 11:04:00,,19.2,37
TRF_00069,REQ_00002,BB_B,HOSP_B,VERIFIED,URGENT,2023-06-17 10:00:00,2023-06-17 10:18:00,2023-06-17 11:57:00,2023-06-17 12:21:00,59.7,99
TRF_00070,REQ_00136,HOSP_D,BB_B,DELIVERED,ROUTINE,2023-10-03 06:00:00,2023-10-03 06:42:00,2023-10-03 07:56:00,2023-10-03 08:10:00,45.7,74
TRF_00071,REQ_00067,HOSP_D,BB_A,PREPARING,EMERGENCY,2022-12-17 14:00:00,,2022-12-17 15:42:00,,41.9,71
TRF_00072,REQ_00001,HOSP_D,HOSP_A,PREPARING,ROUTINE,2023-02-26 06:00:00,,2023-02-26 08:23:00,,56.6,87
TRF_00073,REQ_00077,HOSP_B,HOSP_A,VERIFIED,URGENT,2022-02-11 18:00:00,2022-02-11 19:00:00,2022-02-11 21:31:00,2022-02-11 22:00:00,52.0,151
TRF_00074,REQ_00165,BB_B,HOSP_C,READY_FOR_PICKUP,ROUTINE,2024-10-13 09:00:00,2024-10-13 09:38:00,2024-10-13 10:13:00,,26.9,35
TRF_00075,REQ_00165,HOSP_D,HOSP_C,IN_TRANSIT,URGENT,2024-01-15 09:00:00,2024-01-15 09:30:00,2024-01-15 10:34:00,,29.6,64
TRF_00076,REQ_00110,HOSP_A,HOSP_E,CANCELLED,URGENT,2024-08-20 11:00:00,2024-08-20 11:55:00,2024-08-20 13:12:00,,40.8,77
TRF_00077,REQ_00165,HOSP_D,BB_A,CANCELLED,ROUTINE,2023-11-12 10:00:00,2023-11-12 10:47:00,2023-11-12 12:37:00,,51.4,110
TRF_00078,REQ_00079,BB_A,HOSP_B,CANCELLED,URGENT,2023-06-12 12:00:00,2023-06-12 12:34:00,2023-06-12 13:09:00,,13.4,35
TRF_00079,REQ_00099,HOSP_B,HOSP_D,VERIFIED,ROUTINE,2024-09-02 10:00:00,2024-09-02 10:28:00,2024-09-02 13:07:00,2024-09-02 13:22:00,68.6,159
TRF_00080,REQ_00071,HOSP_D,BB_A,VERIFIED,URGENT,2024-03-27 11:00:00,2024-03-27 11:28:00,2024-03-27 12:10:00,2024-03-27 12:25:00,25.7,42
TRF_00081,REQ_00003,HOSP_D,BB_A,VERIFIED,ROUTINE,2024-09-08 09:00:00,2024-09-08 09:23:00,2024-09-08 09:48:00,2024-09-08 10:02:00,16.4,25
TRF_00082,REQ_00137,HOSP_A,BB_B,VERIFIED,ROUTINE,2023-09-23 15:00:00,2023-09-23 15:48:00,2023-09-23 18:18:00,2023-09-23 18:20:00,52.1,150
TRF_00083,REQ_00200,HOSP_A,HOSP_D,IN_TRANSIT,URGENT,2023-09-03 09:00:00,2023-09-03 09:24:00,2023-09-03 10:05:00,,24.5,41
TRF_00084,REQ_00049,HOSP_C,BB_B,DELIVERED,ROUTINE,2024-05-09 07:00:00,2024-05-09 07:38:00,2024-05-09 08:29:00,2024-05-09 08:35:00,31.8,51
TRF_00085,REQ_00012,HOSP_A,HOSP_E,CANCELLED,URGENT,2022-03-07 07:00:00,2022-03-07 07:40:00,2022-03-07 08:41:00,,24.0,61
TRF_00086,REQ_00025,BB_A,HOSP_A,VERIFIED,ROUTINE,2022-12-20 17:00:00,2022-12-20 17:25:00,2022-12-20 18:56:00,2022-12-20 19:09:00,53.4,91
TRF_00087,REQ_00172,HOSP_C,HOSP_D,READY_FOR_PICKUP,ROUTINE,2022-12-17 07:00:00,2022-12-17 07:14:00,2022-12-17 08:51:00,,55.3,97
TRF_00088,REQ_00082,HOSP_B,HOSP_A,VERIFIED,ROUTINE,2022-04-26 08:00:00,2022-04-26 09:00:00,2022-04-26 11:03:00,2022-04-26 11:12:00,53.1,123
TRF_00089,REQ_00007,HOSP_A,HOSP_C,VERIFIED,URGENT,2024-02-20 14:00:00,2024-02-20 14:44:00,2024-02-20 15:57:00,2024-02-20 15:54:00,50.7,73
TRF_00090,REQ_00136,HOSP_A,HOSP_C,DELIVERED,ROUTINE,2024-06-12 16:00:00,2024-06-12 16:35:00,2024-06-12 18:17:00,2024-06-12 18:45:00,78.0,102
TRF_00091,REQ_00009,HOSP_A,BB_A,DELIVERED,ROUTINE,2023-11-27 17:00:00,2023-11-27 17:25:00,2023-11-27 18:18:00,2023-11-27 18:27:00,29.3,53
TRF_00092,REQ_00155,HOSP_D,BB_A,VERIFIED,ROUTINE,2024-04-11 11:00:00,2024-04-11 11:52:00,2024-04-11 13:47:00,2024-04-11 14:00:00,75.8,115
TRF_00093,REQ_00094,BB_B,HOSP_C,READY_FOR_PICKUP,ROUTINE,2023-12-08 06:00:00,2023-12-08 06:39:00,2023-12-08 07:24:00,,37.1,45
TRF_00094,REQ_00087,HOSP_E,HOSP_A,VERIFIED,URGENT,2023-12-22 10:00:00,2023-12-22 10:45:00,2023-12-22 13:03:00,2023-12-22 13:19:00,67.4,138
TRF_00095,REQ_00041,HOSP_E,BB_B,READY_FOR_PICKUP,EMERGENCY,2023-12-13 16:00:00,2023-12-13 16:13:00,2023-12-13 18:19:00,,73.4,126
TRF_00096,REQ_00054,BB_A,HOSP_C,PREPARING,URGENT,2024-03-01 16:00:00,,2024-03-01 17:47:00,,36.0,65
TRF_00097,REQ_00126,HOSP_C,HOSP_E,PREPARING,ROUTINE,2024-01-27 06:00:00,,2024-01-27 08:14:00,,42.2,110
TRF_00098,REQ_00037,HOSP_C,HOSP_E,READY_FOR_PICKUP,ROUTINE,2024-12-05 07:00:00,2024-12-05 07:59:00,2024-12-05 08:26:00,,16.1,27
TRF_00099,REQ_00125,BB_A,HOSP_B,READY_FOR_PICKUP,URGENT,2023-11-20 08:00:00,2023-11-20 08:51:00,2023-11-20 10:35:00,,73.9,104
TRF_00100,REQ_00058,HOSP_A,HOSP_E,VERIFIED,ROUTINE,2022-09-12 12:00:00,2022-09-12 12:34:00,2022-09-12 12:43:00,2022-09-12 13:09:00,6.9,9
TRF_00101,REQ_00135,HOSP_B,BB_B,IN_TRANSIT,ROUTINE,2024-06-14 11:00:00,2024-06-14 11:30:00,2024-06-14 12:05:00,,21.9,35
TRF_00102,REQ_00160,HOSP_E,HOSP_A,CANCELLED,ROUTINE,2024-09-11 09:00:00,2024-09-11 09:14:00,2024-09-11 10:39:00,,66.9,85
TRF_00103,REQ_00041,HOSP_E,BB_B,READY_FOR_PICKUP,ROUTINE,2022-09-30 11:00:00,2022-09-30 11:22:00,2022-09-30 14:27:00,,64.9,185
TRF_00104,REQ_00054,BB_B,HOSP_E,READY_FOR_PICKUP,EMERGENCY,2023-09-12 16:00:00,2023-09-12 16:53:00,2023-09-12 18:37:00,,45.7,104
TRF_00105,REQ_00082,BB_B,HOSP_A,VERIFIED,EMERGENCY,2022-10-16 12:00:00,2022-10-16 12:48:00,2022-10-16 14:11:00,2022-10-16 14:37:00,51.5,83
TRF_00106,REQ_00105,BB_A,HOSP_C,DELIVERED,URGENT,2023-10-25 14:00:00,2023-10-25 14:35:00,2023-10-25 14:47:00,2023-10-25 15:11:00,6.1,12
TRF_00107,REQ_00083,HOSP_D,HOSP_E,READY_FOR_PICKUP,EMERGENCY,2023-11-26 12:00:00,2023-11-26 12:27:00,2023-11-26 13:00:00,,27.0,33
TRF_00108,REQ_00149,BB_A,HOSP_B,PREPARING,ROUTINE,2022-09-09 08:00:00,,2022-09-09 09:12:00,,28.8,38
TRF_00109,REQ_00038,HOSP_B,HOSP_D,IN_TRANSIT,ROUTINE,2022-12-11 07:00:00,2022-12-11 07:55:00,2022-12-11 09:56:00,,71.5,121
TRF_00110,REQ_00007,HOSP_D,BB_B,IN_TRANSIT,URGENT,2022-03-01 18:00:00,2022-03-01 18:15:00,2022-03-01 20:10:00,,67.8,115
TRF_00111,REQ_00012,HOSP_C,BB_B,READY_FOR_PICKUP,URGENT,2024-10-09 13:00:00,2024-10-09 13:44:00,2024-10-09 14:20:00,,24.1,36
TRF_00112,REQ_00198,BB_A,HOSP_C,CANCELLED,ROUTINE,2024-04-16 09:00:00,2024-04-16 09:42:00,2024-04-16 12:52:00,,78.2,190
TRF_00113,REQ_00178,HOSP_A,HOSP_D,CANCELLED,EMERGENCY,2022-05-31 15:00:00,2022-05-31 15:56:00,2022-05-31 17:10:00,,52.8,74
TRF_00114,REQ_00153,HOSP_B,HOSP_C,PREPARING,ROUTINE,2023-04-21 18:00:00,,2023-04-21 19:58:00,,33.5,61
TRF_00115,REQ_00003,BB_A,HOSP_C,DELIVERED,URGENT,2024-05-04 08:00:00,2024-05-04 08:27:00,2024-05-04 08:45:00,2024-05-04 09:08:00,11.0,18
TRF_00116,REQ_00162,BB_A,HOSP_D,VERIFIED,URGENT,2024-07-22 16:00:00,2024-07-22 16:20:00,2024-07-22 16:47:00,2024-07-22 17:06:00,20.4,27
TRF_00117,REQ_00053,HOSP_C,BB_A,IN_TRANSIT,URGENT,2024-01-23 06:00:00,2024-01-23 06:53:00,2024-01-23 07:44:00,,20.5,51
TRF_00118,REQ_00171,HOSP_C,HOSP_A,VERIFIED,ROUTINE,2023-04-07 13:00:00,2023-04-07 13:27:00,2023-04-07 14:14:00,2023-04-07 14:41:00,17.6,47
TRF_00119,REQ_00191,BB_A,HOSP_A,PREPARING,EMERGENCY,2024-09-09 17:00:00,,2024-09-09 18:32:00,,36.2,52
TRF_00120,REQ_00153,HOSP_E,BB_B,CANCELLED,EMERGENCY,2023-08-14 08:00:00,2023-08-14 08:53:00,2023-08-14 11:33:00,,61.6,160
TRF_00121,REQ_00090,BB_B,HOSP_C,READY_FOR_PICKUP,URGENT,2024-12-05 09:00:00,2024-12-05 09:39:00,2024-12-05 12:57:00,,69.3,198
TRF_00122,REQ_00141,HOSP_C,BB_B,VERIFIED,ROUTINE,2023-11-24 13:00:00,2023-11-24 13:22:00,2023-11-24 13:36:00,2023-11-24 13:46:00,10.1,14
TRF_00123,REQ_00115,BB_A,HOSP_C,READY_FOR_PICKUP,URGENT,2024-07-08 08:00:00,2024-07-08 08:49:00,2024-07-08 10:40:00,,71.9,111
TRF_00124,REQ_00171,HOSP_B,HOSP_E,VERIFIED,EMERGENCY,2022-06-04 16:00:00,2022-06-04 16:14:00,2022-06-04 17:54:00,2022-06-04 18:23:00,56.1,100
TRF_00125,REQ_00115,BB_B,HOSP_A,PREPARING,URGENT,2024-04-03 12:00:00,,2024-04-03 13:31:00,,15.5,41
TRF_00126,REQ_00054,BB_A,HOSP_D,VERIFIED,URGENT,2022-02-10 12:00:00,2022-02-10 12:10:00,2022-02-10 13:12:00,2022-02-10 13:26:00,43.0,62
TRF_00127,REQ_00047,HOSP_C,HOSP_B,READY_FOR_PICKUP,URGENT,2022-06-17 09:00:00,2022-06-17 09:18:00,2022-06-17 09:36:00,,13.3,18
TRF_00128,REQ_00008,BB_B,HOSP_B,DELIVERED,ROUTINE,2022-09-12 12:00:00,2022-09-12 12:14:00,2022-09-12 13:59:00,2022-09-12 14:22:00,68.8,105
TRF_00129,REQ_00040,BB_B,HOSP_A,READY_FOR_PICKUP,URGENT,2022-08-12 15:00:00,2022-08-12 15:33:00,2022-08-12 16:30:00,,28.8,57
TRF_00130,REQ_00182,HOSP_E,HOSP_B,CANCELLED,ROUTINE,2022-04-06 08:00:00,2022-04-06 08:45:00,2022-04-06 09:48:00,,48.6,63
TRF_00131,REQ_00041,HOSP_D,HOSP_A,DELIVERED,ROUTINE,2024-04-23 09:00:00,2024-04-23 09:25:00,2024-04-23 10:38:00,2024-04-23 11:01:00,35.3,73
TRF_00132,REQ_00058,HOSP_C,HOSP_A,DELIVERED,URGENT,2023-07-05 12:00:00,2023-07-05 12:21:00,2023-07-05 13:52:00,2023-07-05 14:02:00,46.1,91
TRF_00133,REQ_00027,HOSP_D,BB_B,READY_FOR_PICKUP,URGENT,2024-11-09 07:00:00,2024-11-09 07:48:00,2024-11-09 08:32:00,,35.8,44
TRF_00134,REQ_00071,HOSP_A,BB_B,PREPARING,ROUTINE,2023-01-01 06:00:00,,2023-01-01 07:53:00,,38.1,78
TRF_00135,REQ_00067,HOSP_B,BB_B,CANCELLED,ROUTINE,2022-01-27 15:00:00,2022-01-27 15:14:00,2022-01-27 15:43:00,,19.0,29
TRF_00136,REQ_00056,BB_A,BB_B,CANCELLED,URGENT,2023-08-18 18:00:00,2023-08-18 18:46:00,2023-08-18 20:33:00,,44.1,107
TRF_00137,REQ_00015,BB_B,HOSP_D,READY_FOR_PICKUP,ROUTINE,2024-06-14 09:00:00,2024-06-14 09:13:00,2024-06-14 10:38:00,,67.9,85
TRF_00138,REQ_00026,BB_B,HOSP_D,IN_TRANSIT,URGENT,2022-01-24 13:00:00,2022-01-24 13:31:00,2022-01-24 14:54:00,,41.8,83
TRF_00139,REQ_00073,HOSP_B,HOSP_D,CANCELLED,ROUTINE,2024-06-20 15:00:00,2024-06-20 15:20:00,2024-06-20 16:12:00,,37.9,52
TRF_00140,REQ_00025,HOSP_A,HOSP_E,CANCELLED,ROUTINE,2024-04-21 17:00:00,2024-04-21 17:31:00,2024-04-21 18:42:00,,41.1,71
TRF_00141,REQ_00107,BB_A,HOSP_D,PREPARING,EMERGENCY,2023-06-24 11:00:00,,2023-06-24 12:19:00,,12.0,23
TRF_00142,REQ_00195,HOSP_B,BB_B,IN_TRANSIT,ROUTINE,2023-01-24 06:00:00,2023-01-24 06:32:00,2023-01-24 06:48:00,,7.9,16
TRF_00143,REQ_00160,HOSP_B,HOSP_D,CANCELLED,URGENT,2022-11-03 18:00:00,2022-11-03 18:38:00,2022-11-03 20:09:00,,53.2,91
TRF_00144,REQ_00174,HOSP_B,HOSP_D,PREPARING,ROUTINE,2024-11-22 09:00:00,,2024-11-22 11:34:00,,69.5,127
TRF_00145,REQ_00156,HOSP_B,HOSP_E,DELIVERED,ROUTINE,2023-03-06 06:00:00,2023-03-06 06:22:00,2023-03-06 06:44:00,2023-03-06 07:04:00,17.7,22
TRF_00146,REQ_00082,HOSP_A,HOSP_B,READY_FOR_PICKUP,URGENT,2022-03-23 07:00:00,2022-03-23 07:47:00,2022-03-23 09:15:00,,59.5,88
TRF_00147,REQ_00077,HOSP_E,HOSP_B,VERIFIED,URGENT,2023-03-13 17:00:00,2023-03-13 17:51:00,2023-03-13 18:05:00,2023-03-13 18:09:00,10.3,14
TRF_00148,REQ_00042,HOSP_E,BB_B,PREPARING,EMERGENCY,2024-11-30 11:00:00,,2024-11-30 14:03:00,,64.9,156
TRF_00149,REQ_00144,HOSP_A,HOSP_B,READY_FOR_PICKUP,URGENT,2023-06-17 11:00:00,2023-06-17 11:38:00,2023-06-17 12:20:00,,27.8,42
TRF_00150,REQ_00164,HOSP_D,HOSP_A,VERIFIED,URGENT,2023-06-16 09:00:00,2023-06-16 09:46:00,2023-06-16 13:05:00,2023-06-16 13:10:00,78.6,199
