unit_code,organization_id,blood_group,component_type,collection_date,expiry_date,status,quality_testing_status,storage_location,source_donation_id
BU-A35AEB71,HOSP_B,A_POSITIVE,PLATELETS,2024-12-26,2024-12-31,RESERVED,PASSED,Shelf-C1,DON_00510
BU-58160AAE,HOSP_E,O_NEGATIVE,PLASMA,2024-08-25,2025-08-25,AVAILABLE,FAILED,Shelf-B2,DON_00730
BU-243F76A8,HOSP_E,O_POSITIVE,RBC,2024-12-03,2025-01-14,RESERVED,PASSED,Fridge-1,DON_00792
BU-367596FD,HOSP_E,O_POSITIVE,RBC,2024-12-28,2025-02-08,DISPATCHED,FAILED,Fridge-3,DON_00253
BU-3BF0B671,HOSP_A,O_NEGATIVE,PLASMA,2024-06-09,2025-06-09,QUARANTINED,FAILED,Fridge-3,DON_00580
BU-47B85425,HOSP_A,O_POSITIVE,RBC,2024-12-14,2025-01-25,AVAILABLE,PENDING,Shelf-A2,DON_00234
BU-978D5A4B,HOSP_C,B_POSITIVE,PLASMA,2024-01-30,2025-01-29,AVAILABLE,PASSED,Fridge-2,DON_00455
BU-F1314055,HOSP_C,O_POSITIVE,RBC,2024-12-11,2025-01-22,QUARANTINED,FAILED,Shelf-B1,DON_00625
BU-6F1209AC,HOSP_B,O_POSITIVE,WHOLE_BLOOD,2024-12-03,2025-01-07,AVAILABLE,REVIEW_REQUIRED,Shelf-A2,DON_00292
BU-CB1A2628,HOSP_C,A_POSITIVE,RBC,2024-12-10,2025-01-21,AVAILABLE,FAILED,Shelf-B2,DON_00717
BU-D7C8C675,BB_B,O_NEGATIVE,RBC,2024-12-23,2025-02-03,QUARANTINED,REVIEW_REQUIRED,Fridge-2,DON_00540
BU-23852A5D,BB_B,A_POSITIVE,RBC,2024-12-16,2025-01-27,DISPATCHED,PENDING,Fridge-1,DON_00721
BU-18C2B933,HOSP_D,O_POSITIVE,PLATELETS,2024-12-30,2025-01-04,AVAILABLE,PENDING,Shelf-C1,DON_00133
BU-482129C4,HOSP_D,O_POSITIVE,RBC,2024-11-22,2025-01-03,USED,FAILED,Shelf-C1,DON_00706
BU-C7ECAD72,BB_B,O_NEGATIVE,PLASMA,2024-03-07,2025-03-07,RESERVED,REVIEW_REQUIRED,Fridge-3,DON_00409
BU-2C467D13,HOSP_A,A_NEGATIVE,PLATELETS,2024-12-29,2025-01-03,DISPATCHED,PASSED,Shelf-B2,DON_00270
BU-F7A8CF96,HOSP_D,O_POSITIVE,PLASMA,2024-06-16,2025-06-16,AVAILABLE,PASSED,Fridge-2,DON_00438
BU-B30A7498,BB_A,O_POSITIVE,WHOLE_BLOOD,2024-12-15,2025-01-19,RESERVED,PASSED,Shelf-A1,DON_00541
BU-5805F17E,HOSP_A,A_POSITIVE,PLATELETS,2024-12-31,2025-01-05,RESERVED,FAILED,Shelf-A2,DON_00541
BU-35E2F6E0,HOSP_C,B_POSITIVE,PLATELETS,2024-12-26,2024-12-31,QUARANTINED,FAILED,Fridge-3,DON_00671
BU-5E408A6F,BB_B,B_POSITIVE,WHOLE_BLOOD,2024-12-13,2025-01-17,USED,PASSED,Fridge-2,DON_00367
BU-A496B067,BB_A,O_POSITIVE,PLATELETS,2024-12-29,2025-01-03,RECEIVED,PASSED,Fridge-1,DON_00338
BU-D3B99E79,BB_B,O_NEGATIVE,PLASMA,2024-01-26,2025-01-25,EXPIRED,PASSED,Fridge-1,DON_00206
BU-F136BD88,HOSP_A,AB_NEGATIVE,RBC,2024-12-07,2025-01-18,QUARANTINED,REVIEW_REQUIRED,Shelf-B2,DON_00281
BU-61DCC4FC,BB_B,B_NEGATIVE,PLASMA,2024-05-02,2025-05-02,DISPATCHED,PASSED,Shelf-B2,DON_00070
BU-08B63D3F,BB_A,B_POSITIVE,WHOLE_BLOOD,2024-12-07,2025-01-11,AVAILABLE,PENDING,Shelf-B1,DON_00232
BU-1E4153A8,HOSP_C,O_POSITIVE,PLASMA,2024-02-28,2025-02-27,USED,PASSED,Shelf-B2,DON_00457
BU-77010C91,HOSP_A,O_POSITIVE,WHOLE_BLOOD,2024-12-26,2025-01-30,RESERVED,PASSED,Fridge-1,DON_00288
BU-1018928A,HOSP_C,O_POSITIVE,PLATELETS,2024-12-29,2025-01-03,AVAILABLE,PASSED,Shelf-B2,DON_00765
BU-3609B4B5,BB_B,O_NEGATIVE,PLATELETS,2024-12-28,2025-01-02,RESERVED,PASSED,Shelf-A2,DON_00753
BU-A8E8BE2C,BB_A,O_POSITIVE,RBC,2024-12-11,2025-01-22,USED,REVIEW_REQUIRED,Shelf-A2,DON_00425
BU-A5C569CE,HOSP_A,O_POSITIVE,PLASMA,2024-11-03,2025-11-03,DISPATCHED,PASSED,Shelf-B2,DON_00339
BU-F00D3E48,HOSP_B,B_POSITIVE,PLASMA,2024-12-07,2025-12-07,DISPATCHED,PENDING,Platelet-Agitator-1,DON_00721
BU-B9E9DBC5,HOSP_C,A_POSITIVE,PLASMA,2024-03-17,2025-03-17,AVAILABLE,PASSED,Shelf-A2,DON_00717
BU-58AE94D0,HOSP_D,A_POSITIVE,PLATELETS,2024-12-27,2025-01-01,QUARANTINED,FAILED,Shelf-A2,DON_00444
BU-ED2D6870,HOSP_C,A_POSITIVE,PLASMA,2024-11-22,2025-11-22,USED,PASSED,Fridge-3,DON_00461
BU-EB7DD890,HOSP_C,O_POSITIVE,PLASMA,2024-10-20,2025-10-20,QUARANTINED,FAILED,Fridge-3,DON_00506
BU-7A913C54,BB_A,B_POSITIVE,PLASMA,2024-10-16,2025-10-16,RESERVED,PASSED,Shelf-C1,DON_00403
BU-E39DC72D,HOSP_B,O_POSITIVE,PLATELETS,2024-12-30,2025-01-04,USED,PENDING,Fridge-3,DON_00741
BU-BDDBC032,HOSP_C,A_POSITIVE,PLASMA,2024-02-14,2025-02-13,RECEIVED,PENDING,Fridge-3,DON_00632
BU-EBDA73A2,BB_A,B_POSITIVE,RBC,2024-12-14,2025-01-25,RECEIVED,FAILED,Fridge-3,DON_00039
BU-EDE83823,HOSP_C,B_POSITIVE,PLASMA,2024-11-30,2025-11-30,RESERVED,PASSED,Platelet-Agitator-1,DON_00287
BU-31713AF5,HOSP_B,O_POSITIVE,RBC,2024-12-24,2025-02-04,EXPIRED,PASSED,Shelf-C1,DON_00622
BU-B7E0DAF6,HOSP_B,AB_POSITIVE,PLATELETS,2024-12-26,2024-12-31,AVAILABLE,FAILED,Fridge-3,DON_00510
BU-BE0924C1,BB_B,B_NEGATIVE,PLASMA,2024-11-26,2025-11-26,AVAILABLE,PENDING,Shelf-B1,DON_00543
BU-C63EDCF8,HOSP_E,B_POSITIVE,WHOLE_BLOOD,2024-12-22,2025-01-26,USED,FAILED,Shelf-C1,DON_00174
BU-A5F36807,HOSP_A,O_POSITIVE,WHOLE_BLOOD,2024-12-25,2025-01-29,AVAILABLE,PASSED,Shelf-B2,DON_00703
BU-795F8A06,HOSP_C,A_POSITIVE,WHOLE_BLOOD,2024-12-16,2025-01-20,DISPATCHED,PENDING,Shelf-C1,DON_00539
BU-21052300,BB_A,A_POSITIVE,PLASMA,2024-02-08,2025-02-07,AVAILABLE,REVIEW_REQUIRED,Fridge-2,DON_00505
BU-5CD58AFD,HOSP_D,O_POSITIVE,RBC,2024-12-30,2025-02-10,AVAILABLE,FAILED,Platelet-Agitator-1,DON_00636
BU-B99E7CE4,HOSP_A,O_POSITIVE,PLASMA,2024-02-27,2025-02-26,AVAILABLE,FAILED,Fridge-1,DON_00109
BU-B8A87F0B,HOSP_A,O_POSITIVE,WHOLE_BLOOD,2024-12-11,2025-01-15,RECEIVED,PENDING,Shelf-B1,DON_00603
BU-4DD27E98,BB_B,O_NEGATIVE,PLATELETS,2024-12-27,2025-01-01,USED,PENDING,Fridge-3,DON_00155
BU-3027A30A,BB_B,A_POSITIVE,PLATELETS,2024-12-30,2025-01-04,QUARANTINED,FAILED,Fridge-3,DON_00346
BU-B7E00883,HOSP_C,B_NEGATIVE,RBC,2024-12-19,2025-01-30,RECEIVED,PASSED,Shelf-A2,DON_00030
BU-8755323B,BB_B,A_POSITIVE,PLASMA,2024-02-23,2025-02-22,USED,FAILED,Platelet-Agitator-1,DON_00069
BU-316DE3FD,HOSP_C,O_POSITIVE,RBC,2024-11-29,2025-01-10,DISPATCHED,PASSED,Shelf-B1,DON_00470
BU-CA490EE6,HOSP_E,B_POSITIVE,PLASMA,2024-12-15,2025-12-15,DISPATCHED,PASSED,Fridge-3,DON_00212
BU-65D412EC,HOSP_A,A_POSITIVE,PLATELETS,2024-12-29,2025-01-03,EXPIRED,PASSED,Shelf-B2,DON_00367
BU-2F43CBDC,HOSP_E,A_POSITIVE,WHOLE_BLOOD,2024-12-05,2025-01-09,AVAILABLE,FAILED,Shelf-A2,DON_00625
BU-7467CFF8,HOSP_E,A_POSITIVE,PLASMA,2024-11-23,2025-11-23,EXPIRED,PENDING,Shelf-B1,DON_00596
BU-B478274B,HOSP_A,A_POSITIVE,PLASMA,2024-09-10,2025-09-10,RESERVED,PASSED,Shelf-C1,DON_00564
BU-8B81FFD3,HOSP_C,A_NEGATIVE,WHOLE_BLOOD,2024-11-26,2024-12-31,QUARANTINED,FAILED,Fridge-2,DON_00280
BU-E4E091B5,BB_A,A_POSITIVE,PLASMA,2024-04-03,2025-04-03,RECEIVED,PASSED,Platelet-Agitator-1,DON_00700
BU-738475C3,BB_B,O_POSITIVE,RBC,2024-12-28,2025-02-08,USED,REVIEW_REQUIRED,Shelf-C1,DON_00751
BU-F723EF09,HOSP_D,O_POSITIVE,RBC,2024-12-26,2025-02-06,AVAILABLE,REVIEW_REQUIRED,Fridge-2,DON_00444
BU-1A953660,HOSP_D,O_POSITIVE,RBC,2024-11-25,2025-01-06,RECEIVED,PASSED,Platelet-Agitator-1,DON_00770
BU-38FF292B,BB_B,O_NEGATIVE,PLATELETS,2024-12-27,2025-01-01,DISPATCHED,REVIEW_REQUIRED,Shelf-B2,DON_00680
BU-C98548F5,BB_B,A_POSITIVE,WHOLE_BLOOD,2024-12-08,2025-01-12,EXPIRED,REVIEW_REQUIRED,Shelf-B2,DON_00672
BU-EE53D072,BB_A,B_POSITIVE,PLASMA,2024-11-10,2025-11-10,EXPIRED,PENDING,Platelet-Agitator-1,DON_00047
BU-4C6B94F4,HOSP_C,O_POSITIVE,PLATELETS,2024-12-30,2025-01-04,USED,FAILED,Fridge-1,DON_00219
BU-5CB439C0,HOSP_E,A_POSITIVE,PLATELETS,2024-12-30,2025-01-04,QUARANTINED,REVIEW_REQUIRED,Shelf-B1,DON_00480
BU-2201B2AA,BB_B,A_POSITIVE,PLATELETS,2024-12-27,2025-01-01,EXPIRED,PASSED,Fridge-2,DON_00073
BU-F1B5FC03,HOSP_C,A_POSITIVE,PLATELETS,2024-12-30,2025-01-04,RESERVED,PASSED,Shelf-A1,DON_00357
BU-BB444CB0,HOSP_D,O_POSITIVE,PLATELETS,2024-12-31,2025-01-05,RECEIVED,FAILED,Fridge-1,DON_00199
BU-03F71549,HOSP_C,O_POSITIVE,PLASMA,2024-04-20,2025-04-20,AVAILABLE,REVIEW_REQUIRED,Shelf-C1,DON_00128
BU-74D4E949,HOSP_C,O_POSITIVE,WHOLE_BLOOD,2024-12-16,2025-01-20,DISPATCHED,PASSED,Platelet-Agitator-1,DON_00665
BU-DFB1D787,HOSP_D,B_POSITIVE,PLATELETS,2024-12-30,2025-01-04,AVAILABLE,PASSED,Shelf-A2,DON_00156
BU-6FD47739,HOSP_B,A_NEGATIVE,RBC,2024-12-23,2025-02-03,EXPIRED,REVIEW_REQUIRED,Fridge-1,DON_00706
BU-AAEDBDC1,HOSP_A,O_POSITIVE,RBC,2024-12-05,2025-01-16,QUARANTINED,REVIEW_REQUIRED,Fridge-3,DON_00303
BU-F9861611,BB_A,A_POSITIVE,PLATELETS,2024-12-30,2025-01-04,DISPATCHED,PASSED,Fridge-1,DON_00118
BU-88FC643A,BB_B,O_POSITIVE,PLATELETS,2024-12-30,2025-01-04,RECEIVED,PASSED,Shelf-A1,DON_00526
BU-022E7C34,HOSP_B,O_POSITIVE,PLATELETS,2024-12-30,2025-01-04,AVAILABLE,PASSED,Shelf-C1,DON_00250
BU-1C7BA07D,HOSP_C,B_POSITIVE,WHOLE_BLOOD,2024-12-22,2025-01-26,AVAILABLE,PASSED,Platelet-Agitator-1,DON_00108
BU-0972B9A7,HOSP_E,O_POSITIVE,RBC,2024-12-27,2025-02-07,EXPIRED,REVIEW_REQUIRED,Shelf-A2,DON_00433
BU-4F3340C7,HOSP_D,B_POSITIVE,PLASMA,2024-08-31,2025-08-31,EXPIRED,PASSED,Platelet-Agitator-1,DON_00139
BU-CBB8C1BE,HOSP_D,O_POSITIVE,PLASMA,2024-12-12,2025-12-12,QUARANTINED,FAILED,Shelf-B2,DON_00425
BU-951D4C96,HOSP_A,A_POSITIVE,WHOLE_BLOOD,2024-11-29,2025-01-03,AVAILABLE,PASSED,Fridge-3,DON_00738
BU-67A3B652,HOSP_E,B_POSITIVE,WHOLE_BLOOD,2024-11-30,2025-01-04,AVAILABLE,REVIEW_REQUIRED,Platelet-Agitator-1,DON_00554
BU-7C9D5C16,HOSP_D,A_POSITIVE,PLASMA,2024-11-18,2025-11-18,EXPIRED,REVIEW_REQUIRED,Fridge-3,DON_00338
BU-BD334802,BB_A,A_POSITIVE,WHOLE_BLOOD,2024-12-25,2025-01-29,AVAILABLE,PENDING,Fridge-2,DON_00722
BU-7FDCA389,HOSP_A,O_POSITIVE,RBC,2024-11-23,2025-01-04,DISPATCHED,REVIEW_REQUIRED,Fridge-3,DON_00203
BU-CCDCF65D,BB_A,A_POSITIVE,WHOLE_BLOOD,2024-12-09,2025-01-13,RECEIVED,PASSED,Platelet-Agitator-1,DON_00503
BU-62D8F46B,HOSP_E,O_POSITIVE,PLASMA,2024-07-09,2025-07-09,RESERVED,REVIEW_REQUIRED,Shelf-A1,DON_00323
BU-6F358AA0,HOSP_C,A_NEGATIVE,RBC,2024-11-25,2025-01-06,AVAILABLE,PASSED,Shelf-B2,DON_00102
BU-A50A3ED0,HOSP_A,B_POSITIVE,PLATELETS,2024-12-28,2025-01-02,AVAILABLE,PASSED,Shelf-C1,DON_00196
BU-EFC4BAAB,BB_A,O_POSITIVE,RBC,2024-12-26,2025-02-06,EXPIRED,FAILED,Shelf-A1,DON_00313
BU-003B56CE,HOSP_E,A_POSITIVE,RBC,2024-12-04,2025-01-15,RESERVED,REVIEW_REQUIRED,Fridge-2,DON_00439
BU-9F90F8A8,BB_A,A_POSITIVE,RBC,2024-12-04,2025-01-15,AVAILABLE,PASSED,Shelf-A1,DON_00509
BU-357D501B,HOSP_A,A_POSITIVE,WHOLE_BLOOD,2024-11-30,2025-01-04,AVAILABLE,PASSED,Fridge-1,DON_00677
BU-103083BA,BB_A,O_NEGATIVE,PLATELETS,2024-12-31,2025-01-05,AVAILABLE,FAILED,Fridge-2,DON_00721
BU-A2EA31A1,BB_A,A_POSITIVE,WHOLE_BLOOD,2024-12-03,2025-01-07,AVAILABLE,PASSED,Fridge-2,DON_00280
BU-F78FD544,HOSP_D,B_POSITIVE,PLASMA,2024-01-11,2025-01-10,USED,FAILED,Fridge-2,DON_00412
BU-FB30F809,HOSP_A,O_POSITIVE,WHOLE_BLOOD,2024-12-14,2025-01-18,AVAILABLE,PASSED,Fridge-3,DON_00283
BU-7715FFEF,HOSP_A,B_POSITIVE,PLASMA,2024-01-30,2025-01-29,RESERVED,PASSED,Shelf-A2,DON_00353
BU-23E283AF,HOSP_E,B_POSITIVE,WHOLE_BLOOD,2024-12-04,2025-01-08,QUARANTINED,FAILED,Shelf-B1,DON_00760
BU-2A14D9C4,HOSP_E,B_POSITIVE,RBC,2024-11-30,2025-01-11,DISPATCHED,REVIEW_REQUIRED,Shelf-B1,DON_00657
BU-7B25722C,HOSP_C,O_NEGATIVE,WHOLE_BLOOD,2024-11-28,2025-01-02,EXPIRED,REVIEW_REQUIRED,Fridge-2,DON_00281
BU-DBBE99F2,HOSP_A,A_NEGATIVE,WHOLE_BLOOD,2024-12-13,2025-01-17,EXPIRED,PENDING,Fridge-3,DON_00343
BU-688D1491,HOSP_D,A_POSITIVE,PLASMA,2024-06-25,2025-06-25,RECEIVED,PASSED,Fridge-2,DON_00527
BU-D5AC8B99,HOSP_D,A_POSITIVE,RBC,2024-12-24,2025-02-04,RESERVED,PASSED,Platelet-Agitator-1,DON_00148
BU-9D0AF9D9,HOSP_C,O_POSITIVE,RBC,2024-12-03,2025-01-14,QUARANTINED,REVIEW_REQUIRED,Shelf-A2,DON_00003
BU-CE381E40,HOSP_B,O_POSITIVE,WHOLE_BLOOD,2024-12-01,2025-01-05,RECEIVED,REVIEW_REQUIRED,Fridge-1,DON_00400
BU-69025D16,BB_A,O_POSITIVE,RBC,2024-12-13,2025-01-24,RECEIVED,PENDING,Fridge-1,DON_00493
BU-9F778C0E,BB_A,A_POSITIVE,WHOLE_BLOOD,2024-12-04,2025-01-08,AVAILABLE,PENDING,Shelf-C1,DON_00132
BU-CBABBC13,HOSP_B,O_POSITIVE,WHOLE_BLOOD,2024-12-29,2025-02-02,USED,PASSED,Shelf-A2,DON_00287
BU-8C72B536,HOSP_B,O_POSITIVE,PLATELETS,2024-12-28,2025-01-02,RECEIVED,PASSED,Shelf-C1,DON_00254
BU-640C0A9A,HOSP_D,O_POSITIVE,WHOLE_BLOOD,2024-12-12,2025-01-16,AVAILABLE,FAILED,Fridge-3,DON_00130
BU-2CC5E465,BB_B,B_NEGATIVE,PLASMA,2024-04-01,2025-04-01,RECEIVED,PASSED,Fridge-3,DON_00291
BU-23840E11,HOSP_A,B_POSITIVE,PLASMA,2024-08-15,2025-08-15,EXPIRED,PASSED,Shelf-B2,DON_00752
BU-752AA9B9,HOSP_B,B_NEGATIVE,RBC,2024-12-19,2025-01-30,AVAILABLE,REVIEW_REQUIRED,Fridge-1,DON_00345
BU-26A25621,HOSP_C,A_POSITIVE,WHOLE_BLOOD,2024-12-12,2025-01-16,AVAILABLE,PASSED,Shelf-B1,DON_00134
BU-A511B496,HOSP_A,O_POSITIVE,WHOLE_BLOOD,2024-12-29,2025-02-02,RECEIVED,PASSED,Shelf-B2,DON_00256
BU-D2C0D672,HOSP_E,O_POSITIVE,RBC,2024-12-25,2025-02-05,RECEIVED,REVIEW_REQUIRED,Shelf-B1,DON_00356
BU-00ED12FC,HOSP_E,A_NEGATIVE,WHOLE_BLOOD,2024-12-18,2025-01-22,USED,REVIEW_REQUIRED,Fridge-2,DON_00658
BU-2C0736AA,HOSP_C,O_POSITIVE,RBC,2024-12-09,2025-01-20,QUARANTINED,REVIEW_REQUIRED,Fridge-2,DON_00260
BU-965D8C25,HOSP_E,O_NEGATIVE,WHOLE_BLOOD,2024-12-19,2025-01-23,DISPATCHED,FAILED,Fridge-1,DON_00786
BU-06A00A96,HOSP_B,A_NEGATIVE,RBC,2024-12-07,2025-01-18,AVAILABLE,PENDING,Shelf-A1,DON_00129
BU-02B7B966,HOSP_E,A_POSITIVE,PLASMA,2024-01-15,2025-01-14,AVAILABLE,PASSED,Shelf-B2,DON_00701
BU-AE89F5E5,BB_A,O_NEGATIVE,PLASMA,2024-03-19,2025-03-19,AVAILABLE,PASSED,Platelet-Agitator-1,DON_00515
BU-D49144BA,BB_B,O_POSITIVE,PLASMA,2024-03-03,2025-03-03,QUARANTINED,FAILED,Shelf-B2,DON_00609
BU-D7F6C418,BB_B,O_POSITIVE,RBC,2024-12-15,2025-01-26,RECEIVED,PASSED,Shelf-A2,DON_00424
BU-DC5F040A,HOSP_A,O_POSITIVE,RBC,2024-12-27,2025-02-07,EXPIRED,FAILED,Fridge-1,DON_00800
BU-98EA2A72,HOSP_E,A_NEGATIVE,RBC,2024-11-21,2025-01-02,QUARANTINED,FAILED,Fridge-3,DON_00418
BU-31F0588D,HOSP_E,B_POSITIVE,PLATELETS,2024-12-30,2025-01-04,AVAILABLE,PASSED,Shelf-C1,DON_00380
BU-EF7594EA,HOSP_B,A_POSITIVE,PLATELETS,2024-12-26,2024-12-31,RESERVED,PASSED,Shelf-B2,DON_00778
BU-C1C5C45D,BB_A,B_POSITIVE,PLASMA,2024-12-19,2025-12-19,AVAILABLE,FAILED,Shelf-C1,DON_00599
BU-3111EC17,HOSP_A,A_POSITIVE,RBC,2024-12-17,2025-01-28,QUARANTINED,FAILED,Shelf-C1,DON_00651
BU-898F8BCE,HOSP_A,A_POSITIVE,PLATELETS,2024-12-29,2025-01-03,AVAILABLE,PASSED,Shelf-B1,DON_00693
BU-54728274,HOSP_C,O_POSITIVE,PLASMA,2024-02-23,2025-02-22,DISPATCHED,PASSED,Fridge-3,DON_00023
BU-AEE8244D,HOSP_E,A_POSITIVE,PLASMA,2024-07-12,2025-07-12,DISPATCHED,PASSED,Shelf-B2,DON_00208
BU-64FD1422,HOSP_C,O_POSITIVE,RBC,2024-11-22,2025-01-03,AVAILABLE,PASSED,Fridge-2,DON_00068
