date,organization_id,organization_name,organization_type,region,blood_group,component_type,units_used,emergency_units,scheduled_units,hospital_admissions,icu_admissions,emergency_department_visits,scheduled_surgeries,trauma_cases,day_of_week,day_of_month,week_of_year,month,quarter,year,is_weekend,is_holiday,season,recent_emergency_count_7d,regional_emergency_index,population_served,temperature_c,rainfall_mm,special_event_flag,outbreak_flag,inventory_available_start,inventory_reserved_start,incoming_units,units_expired,units_discarded
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,AB_POSITIVE,RBC,4,2,2,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,17,3,2,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,AB_POSITIVE,PLASMA,1,0,1,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,5,1,1,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,AB_POSITIVE,PLATELETS,1,0,1,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,4,1,0,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,AB_POSITIVE,WHOLE_BLOOD,1,0,1,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,4,1,1,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,AB_NEGATIVE,RBC,1,0,1,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,6,1,1,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,AB_NEGATIVE,PLASMA,0,0,0,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,0,0,0,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,AB_NEGATIVE,PLATELETS,1,0,1,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,3,0,0,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,AB_NEGATIVE,WHOLE_BLOOD,1,0,1,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,4,1,1,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,O_POSITIVE,RBC,18,7,11,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,84,12,9,1,1
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,O_POSITIVE,PLASMA,7,3,4,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,27,2,3,1,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,O_POSITIVE,PLATELETS,8,3,5,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,25,4,6,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,O_POSITIVE,WHOLE_BLOOD,8,3,5,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,32,2,3,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,O_NEGATIVE,RBC,2,1,1,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,7,1,1,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,O_NEGATIVE,PLASMA,1,0,1,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,5,1,1,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,O_NEGATIVE,PLATELETS,0,0,0,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,1,0,0,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,O_NEGATIVE,WHOLE_BLOOD,4,1,3,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,11,2,3,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,A_POSITIVE,RBC,8,5,3,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,22,2,6,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,A_POSITIVE,PLASMA,4,2,2,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,15,2,3,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,A_POSITIVE,PLATELETS,5,3,2,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,19,2,2,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,A_POSITIVE,WHOLE_BLOOD,2,1,1,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,7,1,1,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,A_NEGATIVE,RBC,1,0,1,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,6,1,1,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,A_NEGATIVE,PLASMA,1,1,0,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,2,0,0,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,A_NEGATIVE,PLATELETS,1,1,0,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,3,0,1,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,A_NEGATIVE,WHOLE_BLOOD,1,1,0,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,2,0,0,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,B_POSITIVE,RBC,3,2,1,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,14,2,2,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,B_POSITIVE,PLASMA,5,2,3,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,15,3,3,1,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,B_POSITIVE,PLATELETS,1,1,0,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,4,1,0,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,B_POSITIVE,WHOLE_BLOOD,0,0,0,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,1,0,0,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,B_NEGATIVE,RBC,2,1,1,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,7,1,1,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,B_NEGATIVE,PLASMA,1,0,1,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,3,0,0,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,B_NEGATIVE,PLATELETS,0,0,0,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,0,0,0,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,B_NEGATIVE,WHOLE_BLOOD,2,1,1,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,6,1,1,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,AB_POSITIVE,RBC,1,1,0,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,4,1,1,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,AB_POSITIVE,PLASMA,1,1,0,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,3,0,1,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,AB_POSITIVE,PLATELETS,0,0,0,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,1,0,0,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,AB_POSITIVE,WHOLE_BLOOD,2,1,1,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,4,1,1,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,AB_NEGATIVE,RBC,0,0,0,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,2,0,0,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,AB_NEGATIVE,PLASMA,2,1,1,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,8,1,1,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,AB_NEGATIVE,PLATELETS,2,1,1,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,9,1,1,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,AB_NEGATIVE,WHOLE_BLOOD,0,0,0,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,1,0,0,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,O_POSITIVE,RBC,11,6,5,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,53,9,6,1,1
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,O_POSITIVE,PLASMA,7,3,4,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,19,3,2,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,O_POSITIVE,PLATELETS,5,3,2,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,15,2,3,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,O_POSITIVE,WHOLE_BLOOD,4,2,2,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,17,3,3,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,O_NEGATIVE,RBC,3,1,2,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,14,1,2,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,O_NEGATIVE,PLASMA,1,1,0,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,2,0,0,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,O_NEGATIVE,PLATELETS,3,2,1,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,6,0,1,0,0
2024-11-01,HOSP_B,City Care Hospital,HOSPITAL,North,O_NEGATIVE,WHOLE_BLOOD,1,0,1,561,39,68,10,4,4,1,44,11,4,2024,0,1,AUTUMN,399,4.99,550000,24.6,13.2,0,0,2,0,0,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,A_POSITIVE,RBC,7,2,5,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,19,3,3,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,A_POSITIVE,PLASMA,2,1,1,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,7,1,1,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,A_POSITIVE,PLATELETS,3,1,2,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,8,1,3,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,A_POSITIVE,WHOLE_BLOOD,1,0,1,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,6,1,1,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,A_NEGATIVE,RBC,0,0,0,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,2,0,0,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,A_NEGATIVE,PLASMA,1,0,1,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,5,1,1,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,A_NEGATIVE,PLATELETS,1,0,1,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,5,1,1,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,A_NEGATIVE,WHOLE_BLOOD,2,1,1,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,11,2,1,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,B_POSITIVE,RBC,3,1,2,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,13,1,2,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,B_POSITIVE,PLASMA,3,1,2,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,9,1,1,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,B_POSITIVE,PLATELETS,3,1,2,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,8,1,1,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,B_POSITIVE,WHOLE_BLOOD,1,0,1,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,3,0,1,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,B_NEGATIVE,RBC,3,1,2,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,9,2,1,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,B_NEGATIVE,PLASMA,0,0,0,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,2,0,0,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,B_NEGATIVE,PLATELETS,0,0,0,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,0,0,0,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,B_NEGATIVE,WHOLE_BLOOD,1,0,1,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,3,0,0,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,AB_POSITIVE,RBC,1,0,1,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,7,0,1,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,AB_POSITIVE,PLASMA,2,0,2,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,7,0,1,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,AB_POSITIVE,PLATELETS,3,1,2,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,14,2,2,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,AB_POSITIVE,WHOLE_BLOOD,1,0,1,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,3,0,0,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,AB_NEGATIVE,RBC,0,0,0,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,2,0,0,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,AB_NEGATIVE,PLASMA,1,0,1,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,3,0,1,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,AB_NEGATIVE,PLATELETS,0,0,0,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,1,0,0,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,AB_NEGATIVE,WHOLE_BLOOD,0,0,0,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,0,0,0,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,O_POSITIVE,RBC,8,2,6,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,27,5,4,1,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,O_POSITIVE,PLASMA,6,2,4,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,27,4,4,1,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,O_POSITIVE,PLATELETS,4,1,3,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,14,2,1,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,O_POSITIVE,WHOLE_BLOOD,4,1,3,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,19,1,2,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,O_NEGATIVE,RBC,2,1,1,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,7,1,1,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,O_NEGATIVE,PLASMA,0,0,0,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,2,0,0,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,O_NEGATIVE,PLATELETS,2,1,1,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,8,1,1,0,0
2024-11-01,HOSP_C,Sunrise Medical Center,HOSPITAL,East,O_NEGATIVE,WHOLE_BLOOD,0,0,0,405,23,40,9,1,4,1,44,11,4,2024,0,1,AUTUMN,332,5.53,420000,24.6,13.2,0,0,0,0,0,0,0
2024-11-01,HOSP_D,Heritage Multispecialty Hospital,HOSPITAL,South,A_POSITIVE,RBC,4,2,2,395,19,33,4,3,4,1,44,11,4,2024,0,1,AUTUMN,246,4.92,380000,24.6,13.2,0,0,11,2,3,0,0
2024-11-01,HOSP_D,Heritage Multispecialty Hospital,HOSPITAL,South,A_POSITIVE,PLASMA,3,1,2,395,19,33,4,3,4,1,44,11,4,2024,0,1,AUTUMN,246,4.92,380000,24.6,13.2,0,0,8,1,1,0,0
2024-11-01,HOSP_D,Heritage Multispecialty Hospital,HOSPITAL,South,A_POSITIVE,PLATELETS,4,2,2,395,19,33,4,3,4,1,44,11,4,2024,0,1,AUTUMN,246,4.92,380000,24.6,13.2,0,0,13,2,2,1,0
2024-11-01,HOSP_D,Heritage Multispecialty Hospital,HOSPITAL,South,A_POSITIVE,WHOLE_BLOOD,2,1,1,395,19,33,4,3,4,1,44,11,4,2024,0,1,AUTUMN,246,4.92,380000,24.6,13.2,0,0,11,2,1,0,0
2024-11-01,HOSP_D,Heritage Multispecialty Hospital,HOSPITAL,South,A_NEGATIVE,RBC,0,0,0,395,19,33,4,3,4,1,44,11,4,2024,0,1,AUTUMN,246,4.92,380000,24.6,13.2,0,0,0,0,0,0,0
2024-11-01,HOSP_D,Heritage Multispecialty Hospital,HOSPITAL,South,A_NEGATIVE,PLASMA,1,0,1,395,19,33,4,3,4,1,44,11,4,2024,0,1,AUTUMN,246,4.92,380000,24.6,13.2,0,0,3,0,0,0,0
2024-11-01,HOSP_D,Heritage Multispecialty Hospital,HOSPITAL,South,A_NEGATIVE,PLATELETS,3,1,2,395,19,33,4,3,4,1,44,11,4,2024,0,1,AUTUMN,246,4.92,380000,24.6,13.2,0,0,12,2,1,0,0
2024-11-01,HOSP_D,Heritage Multispecialty Hospital,HOSPITAL,South,A_NEGATIVE,WHOLE_BLOOD,1,0,1,395,19,33,4,3,4,1,44,11,4,2024,0,1,AUTUMN,246,4.92,380000,24.6,13.2,0,0,3,0,0,0,0
2024-11-01,HOSP_D,Heritage Multispecialty Hospital,HOSPITAL,South,B_POSITIVE,RBC,4,2,2,395,19,33,4,3,4,1,44,11,4,2024,0,1,AUTUMN,246,4.92,380000,24.6,13.2,0,0,12,1,2,0,0
2024-11-01,HOSP_D,Heritage Multispecialty Hospital,HOSPITAL,South,B_POSITIVE,PLASMA,0,0,0,395,19,33,4,3,4,1,44,11,4,2024,0,1,AUTUMN,246,4.92,380000,24.6,13.2,0,0,1,0,0,0,0
2024-11-01,HOSP_D,Heritage Multispecialty Hospital,HOSPITAL,South,B_POSITIVE,PLATELETS,2,1,1,395,19,33,4,3,4,1,44,11,4,2024,0,1,AUTUMN,246,4.92,380000,24.6,13.2,0,0,5,0,1,0,0
2024-11-01,HOSP_D,Heritage Multispecialty Hospital,HOSPITAL,South,B_POSITIVE,WHOLE_BLOOD,2,1,1,395,19,33,4,3,4,1,44,11,4,2024,0,1,AUTUMN,246,4.92,380000,24.6,13.2,0,0,7,1,1,0,0
2024-11-01,HOSP_D,Heritage Multispecialty Hospital,HOSPITAL,South,B_NEGATIVE,RBC,2,1,1,395,19,33,4,3,4,1,44,11,4,2024,0,1,AUTUMN,246,4.92,380000,24.6,13.2,0,0,7,1,1,0,0
2024-11-01,HOSP_D,Heritage Multispecialty Hospital,HOSPITAL,South,B_NEGATIVE,PLASMA,2,1,1,395,19,33,4,3,4,1,44,11,4,2024,0,1,AUTUMN,246,4.92,380000,24.6,13.2,0,0,10,2,2,0,0
