snapshot_date,organization_id,blood_group,component_type,available_units,reserved_units,quarantined_units,near_expiry_units,incoming_units,expected_expiry_units,safety_stock_target
2024-12-31,HOSP_A,O_POSITIVE,RBC,56,5,1,3,13,1,24
2024-12-31,HOSP_A,O_POSITIVE,PLASMA,33,2,0,1,10,1,13
2024-12-31,HOSP_A,O_POSITIVE,PLATELETS,16,2,1,0,8,1,9
2024-12-31,HOSP_A,O_POSITIVE,WHOLE_BLOOD,11,1,0,0,4,0,6
2024-12-31,HOSP_A,O_NEGATIVE,RBC,9,1,0,1,2,0,4
2024-12-31,HOSP_A,O_NEGATIVE,PLASMA,6,1,0,0,2,0,2
2024-12-31,HOSP_A,O_NEGATIVE,PLATELETS,5,0,0,0,1,0,2
2024-12-31,HOSP_A,O_NEGATIVE,WHOLE_BLOOD,3,0,0,0,1,0,1
2024-12-31,HOSP_B,A_POSITIVE,RBC,21,2,1,1,7,1,12
2024-12-31,HOSP_B,A_POSITIVE,PLASMA,20,2,0,1,5,1,7
2024-12-31,HOSP_B,A_POSITIVE,PLATELETS,14,1,0,1,3,0,5
2024-12-31,HOSP_B,A_POSITIVE,WHOLE_BLOOD,8,1,0,0,2,0,3
2024-12-31,HOSP_B,A_NEGATIVE,RBC,5,1,0,0,2,0,3
2024-12-31,HOSP_B,A_NEGATIVE,PLASMA,3,0,0,0,1,0,1
2024-12-31,HOSP_B,A_NEGATIVE,PLATELETS,2,0,0,0,1,0,1
2024-12-31,HOSP_B,A_NEGATIVE,WHOLE_BLOOD,2,0,0,0,1,0,1
2024-12-31,HOSP_B,B_POSITIVE,RBC,15,2,0,0,7,0,6
2024-12-31,HOSP_B,B_POSITIVE,PLASMA,9,1,0,0,4,0,3
2024-12-31,HOSP_B,B_POSITIVE,PLATELETS,7,1,0,0,2,0,2
2024-12-31,HOSP_B,B_POSITIVE,WHOLE_BLOOD,3,0,0,0,1,0,1
2024-12-31,HOSP_B,B_NEGATIVE,RBC,3,0,0,0,1,0,1
2024-12-31,HOSP_B,B_NEGATIVE,PLASMA,2,0,0,0,1,0,1
2024-12-31,HOSP_B,B_NEGATIVE,PLATELETS,1,0,0,0,1,0,1
2024-12-31,HOSP_B,B_NEGATIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
2024-12-31,HOSP_B,AB_POSITIVE,RBC,4,0,0,0,1,0,2
2024-12-31,HOSP_B,AB_POSITIVE,PLASMA,2,0,0,0,1,0,1
2024-12-31,HOSP_B,AB_POSITIVE,PLATELETS,2,0,0,0,1,0,1
2024-12-31,HOSP_B,AB_POSITIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
2024-12-31,HOSP_B,AB_NEGATIVE,RBC,2,0,0,0,1,0,1
2024-12-31,HOSP_B,AB_NEGATIVE,PLASMA,1,0,0,0,0,0,1
2024-12-31,HOSP_B,AB_NEGATIVE,PLATELETS,1,0,0,0,0,0,1
2024-12-31,HOSP_B,AB_NEGATIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
2024-12-31,HOSP_B,O_POSITIVE,RBC,41,2,2,3,11,1,16
2024-12-31,HOSP_B,O_POSITIVE,PLASMA,18,2,0,1,6,1,9
2024-12-31,HOSP_B,O_POSITIVE,PLATELETS,18,2,1,1,5,0,7
2024-12-31,HOSP_B,O_POSITIVE,WHOLE_BLOOD,6,1,0,0,3,0,4
2024-12-31,HOSP_B,O_NEGATIVE,RBC,7,1,0,1,4,0,3
2024-12-31,HOSP_B,O_NEGATIVE,PLASMA,4,0,0,0,1,0,2
2024-12-31,HOSP_B,O_NEGATIVE,PLATELETS,2,0,0,0,1,0,1
2024-12-31,HOSP_B,O_NEGATIVE,WHOLE_BLOOD,2,0,0,0,1,0,1
2024-12-31,HOSP_C,A_POSITIVE,RBC,16,1,1,1,4,0,10
2024-12-31,HOSP_C,A_POSITIVE,PLASMA,16,2,0,1,4,0,6
2024-12-31,HOSP_C,A_POSITIVE,PLATELETS,10,1,0,0,2,0,4
2024-12-31,HOSP_C,A_POSITIVE,WHOLE_BLOOD,6,1,0,0,2,0,3
2024-12-31,HOSP_C,A_NEGATIVE,RBC,4,0,0,0,1,0,2
2024-12-31,HOSP_C,A_NEGATIVE,PLASMA,2,0,0,0,1,0,1
2024-12-31,HOSP_C,A_NEGATIVE,PLATELETS,2,0,0,0,1,0,1
2024-12-31,HOSP_C,A_NEGATIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
2024-12-31,HOSP_C,B_POSITIVE,RBC,10,1,0,0,3,0,5
2024-12-31,HOSP_C,B_POSITIVE,PLASMA,4,0,0,0,1,0,3
2024-12-31,HOSP_C,B_POSITIVE,PLATELETS,5,0,0,0,3,0,2
2024-12-31,HOSP_C,B_POSITIVE,WHOLE_BLOOD,2,0,0,0,1,0,1
2024-12-31,HOSP_C,B_NEGATIVE,RBC,3,0,0,0,1,0,1
2024-12-31,HOSP_C,B_NEGATIVE,PLASMA,1,0,0,0,1,0,1
2024-12-31,HOSP_C,B_NEGATIVE,PLATELETS,1,0,0,0,0,0,1
2024-12-31,HOSP_C,B_NEGATIVE,WHOLE_BLOOD,0,0,0,0,0,0,1
2024-12-31,HOSP_C,AB_POSITIVE,RBC,3,0,0,0,2,0,1
2024-12-31,HOSP_C,AB_POSITIVE,PLASMA,1,0,0,0,1,0,1
2024-12-31,HOSP_C,AB_POSITIVE,PLATELETS,2,0,0,0,1,0,1
2024-12-31,HOSP_C,AB_POSITIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
2024-12-31,HOSP_C,AB_NEGATIVE,RBC,2,0,0,0,1,0,1
2024-12-31,HOSP_C,AB_NEGATIVE,PLASMA,1,0,0,0,0,0,1
2024-12-31,HOSP_C,AB_NEGATIVE,PLATELETS,1,0,0,0,0,0,1
2024-12-31,HOSP_C,AB_NEGATIVE,WHOLE_BLOOD,0,0,0,0,0,0,1
2024-12-31,HOSP_C,O_POSITIVE,RBC,39,4,1,2,18,1,13
2024-12-31,HOSP_C,O_POSITIVE,PLASMA,13,1,1,1,4,0,7
2024-12-31,HOSP_C,O_POSITIVE,PLATELETS,14,1,1,1,6,0,5
2024-12-31,HOSP_C,O_POSITIVE,WHOLE_BLOOD,8,1,0,0,2,0,3
2024-12-31,HOSP_C,O_NEGATIVE,RBC,7,1,0,0,2,0,3
2024-12-31,HOSP_C,O_NEGATIVE,PLASMA,4,0,0,0,2,0,1
2024-12-31,HOSP_C,O_NEGATIVE,PLATELETS,2,0,0,0,1,0,1
2024-12-31,HOSP_C,O_NEGATIVE,WHOLE_BLOOD,2,0,0,0,0,0,1
2024-12-31,HOSP_D,A_POSITIVE,RBC,22,3,1,2,9,0,8
2024-12-31,HOSP_D,A_POSITIVE,PLASMA,8,1,0,1,3,0,5
2024-12-31,HOSP_D,A_POSITIVE,PLATELETS,7,1,0,0,2,0,3
2024-12-31,HOSP_D,A_POSITIVE,WHOLE_BLOOD,4,0,0,0,2,0,2
2024-12-31,HOSP_D,A_NEGATIVE,RBC,3,0,0,0,1,0,2
2024-12-31,HOSP_D,A_NEGATIVE,PLASMA,2,0,0,0,1,0,1
2024-12-31,HOSP_D,A_NEGATIVE,PLATELETS,1,0,0,0,0,0,1
2024-12-31,HOSP_D,A_NEGATIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
2024-12-31,HOSP_D,B_POSITIVE,RBC,11,1,0,1,4,0,4
2024-12-31,HOSP_D,B_POSITIVE,PLASMA,5,1,0,0,2,0,2
2024-12-31,HOSP_D,B_POSITIVE,PLATELETS,3,0,0,0,1,0,2
2024-12-31,HOSP_D,B_POSITIVE,WHOLE_BLOOD,2,0,0,0,1,0,1
2024-12-31,HOSP_D,B_NEGATIVE,RBC,2,0,0,0,1,0,1
2024-12-31,HOSP_D,B_NEGATIVE,PLASMA,1,0,0,0,0,0,1
2024-12-31,HOSP_D,B_NEGATIVE,PLATELETS,1,0,0,0,0,0,1
2024-12-31,HOSP_D,B_NEGATIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
2024-12-31,HOSP_D,AB_POSITIVE,RBC,3,0,0,0,1,0,1
2024-12-31,HOSP_D,AB_POSITIVE,PLASMA,1,0,0,0,0,0,1
2024-12-31,HOSP_D,AB_POSITIVE,PLATELETS,1,0,0,0,0,0,1
2024-12-31,HOSP_D,AB_POSITIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
2024-12-31,HOSP_D,AB_NEGATIVE,RBC,1,0,0,0,0,0,1
2024-12-31,HOSP_D,AB_NEGATIVE,PLASMA,1,0,0,0,0,0,1
2024-12-31,HOSP_D,AB_NEGATIVE,PLATELETS,1,0,0,0,0,0,1
2024-12-31,HOSP_D,AB_NEGATIVE,WHOLE_BLOOD,0,0,0,0,0,0,1
2024-12-31,HOSP_D,O_POSITIVE,RBC,17,2,0,1,5,0,11
2024-12-31,HOSP_D,O_POSITIVE,PLASMA,16,2,0,1,8,0,6
2024-12-31,HOSP_D,O_POSITIVE,PLATELETS,10,1,0,1,4,0,4
2024-12-31,HOSP_D,O_POSITIVE,WHOLE_BLOOD,5,0,0,0,2,0,3
2024-12-31,HOSP_D,O_NEGATIVE,RBC,5,1,0,0,2,0,2
2024-12-31,HOSP_D,O_NEGATIVE,PLASMA,3,0,0,0,1,0,1
2024-12-31,HOSP_D,O_NEGATIVE,PLATELETS,2,0,0,0,1,0,1
2024-12-31,HOSP_D,O_NEGATIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
2024-12-31,HOSP_E,A_POSITIVE,RBC,14,1,0,1,4,0,7
2024-12-31,HOSP_E,A_POSITIVE,PLASMA,6,0,0,0,2,0,4
2024-12-31,HOSP_E,A_POSITIVE,PLATELETS,7,1,0,0,2,0,3
2024-12-31,HOSP_E,A_POSITIVE,WHOLE_BLOOD,3,0,0,0,1,0,2
2024-12-31,HOSP_E,A_NEGATIVE,RBC,4,0,0,0,1,0,1
2024-12-31,HOSP_E,A_NEGATIVE,PLASMA,2,0,0,0,1,0,1
2024-12-31,HOSP_E,A_NEGATIVE,PLATELETS,1,0,0,0,0,0,1
2024-12-31,HOSP_E,A_NEGATIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
2024-12-31,HOSP_E,B_POSITIVE,RBC,8,0,0,0,2,0,3
2024-12-31,HOSP_E,B_POSITIVE,PLASMA,3,0,0,0,1,0,2
2024-12-31,HOSP_E,B_POSITIVE,PLATELETS,3,0,0,0,1,0,1
2024-12-31,HOSP_E,B_POSITIVE,WHOLE_BLOOD,2,0,0,0,0,0,1
2024-12-31,HOSP_E,B_NEGATIVE,RBC,1,0,0,0,1,0,1
2024-12-31,HOSP_E,B_NEGATIVE,PLASMA,1,0,0,0,0,0,1
2024-12-31,HOSP_E,B_NEGATIVE,PLATELETS,0,0,0,0,0,0,1
2024-12-31,HOSP_E,B_NEGATIVE,WHOLE_BLOOD,0,0,0,0,0,0,1
2024-12-31,HOSP_E,AB_POSITIVE,RBC,2,0,0,0,1,0,1
2024-12-31,HOSP_E,AB_POSITIVE,PLASMA,1,0,0,0,0,0,1
2024-12-31,HOSP_E,AB_POSITIVE,PLATELETS,1,0,0,0,0,0,1
2024-12-31,HOSP_E,AB_POSITIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
2024-12-31,HOSP_E,AB_NEGATIVE,RBC,1,0,0,0,0,0,1
2024-12-31,HOSP_E,AB_NEGATIVE,PLASMA,1,0,0,0,0,0,1
2024-12-31,HOSP_E,AB_NEGATIVE,PLATELETS,0,0,0,0,0,0,1
2024-12-31,HOSP_E,AB_NEGATIVE,WHOLE_BLOOD,0,0,0,0,0,0,1
2024-12-31,HOSP_E,O_POSITIVE,RBC,16,2,1,1,7,0,9
2024-12-31,HOSP_E,O_POSITIVE,PLASMA,12,1,0,1,6,0,5
2024-12-31,HOSP_E,O_POSITIVE,PLATELETS,10,1,0,0,3,0,4
2024-12-31,HOSP_E,O_POSITIVE,WHOLE_BLOOD,4,0,0,0,2,0,2
2024-12-31,HOSP_E,O_NEGATIVE,RBC,3,0,0,0,1,0,2
2024-12-31,HOSP_E,O_NEGATIVE,PLASMA,2,0,0,0,1,0,1
2024-12-31,HOSP_E,O_NEGATIVE,PLATELETS,2,0,0,0,1,0,1
2024-12-31,HOSP_E,O_NEGATIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
2024-12-31,BB_A,A_POSITIVE,RBC,75,11,3,2,24,2,25
2024-12-31,BB_A,A_POSITIVE,PLASMA,34,5,2,3,12,1,14
2024-12-31,BB_A,A_POSITIVE,PLATELETS,23,2,0,2,6,0,10
2024-12-31,BB_A,A_POSITIVE,WHOLE_BLOOD,17,2,1,0,5,1,6
2024-12-31,BB_A,A_NEGATIVE,RBC,15,2,1,1,5,0,5
2024-12-31,BB_A,A_NEGATIVE,PLASMA,8,1,0,1,3,0,3
2024-12-31,BB_A,A_NEGATIVE,PLATELETS,5,0,0,0,1,0,2
2024-12-31,BB_A,A_NEGATIVE,WHOLE_BLOOD,4,0,0,0,1,0,1
2024-12-31,BB_A,B_POSITIVE,RBC,18,1,1,1,7,0,12
2024-12-31,BB_A,B_POSITIVE,PLASMA,13,1,0,1,4,0,6
2024-12-31,BB_A,B_POSITIVE,PLATELETS,14,1,1,1,6,0,5
2024-12-31,BB_A,B_POSITIVE,WHOLE_BLOOD,6,0,0,0,3,0,3
2024-12-31,BB_A,B_NEGATIVE,RBC,5,1,0,0,1,0,3
2024-12-31,BB_A,B_NEGATIVE,PLASMA,4,0,0,0,2,0,1
2024-12-31,BB_A,B_NEGATIVE,PLATELETS,3,0,0,0,1,0,1
2024-12-31,BB_A,B_NEGATIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
2024-12-31,BB_A,AB_POSITIVE,RBC,6,0,0,0,3,0,4
2024-12-31,BB_A,AB_POSITIVE,PLASMA,3,0,0,0,1,0,2
2024-12-31,BB_A,AB_POSITIVE,PLATELETS,2,0,0,0,1,0,1
2024-12-31,BB_A,AB_POSITIVE,WHOLE_BLOOD,2,0,0,0,1,0,1
2024-12-31,BB_A,AB_NEGATIVE,RBC,3,0,0,0,1,0,2
2024-12-31,BB_A,AB_NEGATIVE,PLASMA,3,0,0,0,1,0,1
2024-12-31,BB_A,AB_NEGATIVE,PLATELETS,2,0,0,0,1,0,1
2024-12-31,BB_A,AB_NEGATIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
2024-12-31,BB_A,O_POSITIVE,RBC,78,10,1,5,28,3,33
2024-12-31,BB_A,O_POSITIVE,PLASMA,33,4,1,2,10,1,18
2024-12-31,BB_A,O_POSITIVE,PLATELETS,27,2,0,2,11,0,13
2024-12-31,BB_A,O_POSITIVE,WHOLE_BLOOD,19,2,1,1,4,0,8
2024-12-31,BB_A,O_NEGATIVE,RBC,9,1,0,1,2,0,6
2024-12-31,BB_A,O_NEGATIVE,PLASMA,6,1,0,0,2,0,3
2024-12-31,BB_A,O_NEGATIVE,PLATELETS,5,0,0,0,2,0,3
2024-12-31,BB_A,O_NEGATIVE,WHOLE_BLOOD,4,0,0,0,1,0,2
2024-12-31,BB_B,A_POSITIVE,RBC,28,2,0,2,9,1,17
2024-12-31,BB_B,A_POSITIVE,PLASMA,28,2,1,1,14,1,9
2024-12-31,BB_B,A_POSITIVE,PLATELETS,10,1,0,0,3,0,7
2024-12-31,BB_B,A_POSITIVE,WHOLE_BLOOD,11,1,0,0,5,0,4
2024-12-31,BB_B,A_NEGATIVE,RBC,7,0,0,0,3,0,4
2024-12-31,BB_B,A_NEGATIVE,PLASMA,5,0,0,0,2,0,2
2024-12-31,BB_B,A_NEGATIVE,PLATELETS,3,0,0,0,1,0,1
2024-12-31,BB_B,A_NEGATIVE,WHOLE_BLOOD,3,0,0,0,1,0,1
2024-12-31,BB_B,B_POSITIVE,RBC,18,2,0,1,4,1,8
2024-12-31,BB_B,B_POSITIVE,PLASMA,7,1,0,0,2,0,4
2024-12-31,BB_B,B_POSITIVE,PLATELETS,5,1,0,0,2,0,3
2024-12-31,BB_B,B_POSITIVE,WHOLE_BLOOD,4,0,0,0,1,0,2
2024-12-31,BB_B,B_NEGATIVE,RBC,5,0,0,0,2,0,2
2024-12-31,BB_B,B_NEGATIVE,PLASMA,3,0,0,0,1,0,1
2024-12-31,BB_B,B_NEGATIVE,PLATELETS,1,0,0,0,0,0,1
2024-12-31,BB_B,B_NEGATIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
2024-12-31,BB_B,AB_POSITIVE,RBC,6,1,0,0,3,0,2
2024-12-31,BB_B,AB_POSITIVE,PLASMA,3,0,0,0,1,0,1
2024-12-31,BB_B,AB_POSITIVE,PLATELETS,3,0,0,0,1,0,1
2024-12-31,BB_B,AB_POSITIVE,WHOLE_BLOOD,2,0,0,0,1,0,1
2024-12-31,BB_B,AB_NEGATIVE,RBC,3,0,0,0,1,0,1
2024-12-31,BB_B,AB_NEGATIVE,PLASMA,2,0,0,0,1,0,1
2024-12-31,BB_B,AB_NEGATIVE,PLATELETS,1,0,0,0,0,0,1
2024-12-31,BB_B,AB_NEGATIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
2024-12-31,BB_B,O_POSITIVE,RBC,64,8,2,3,22,1,22
2024-12-31,BB_B,O_POSITIVE,PLASMA,24,1,1,2,5,1,12
2024-12-31,BB_B,O_POSITIVE,PLATELETS,25,2,1,2,11,1,9
2024-12-31,BB_B,O_POSITIVE,WHOLE_BLOOD,13,2,1,0,3,1,6
2024-12-31,BB_B,O_NEGATIVE,RBC,9,1,0,0,3,0,4
2024-12-31,BB_B,O_NEGATIVE,PLASMA,5,0,0,0,2,0,2
2024-12-31,BB_B,O_NEGATIVE,PLATELETS,5,0,0,0,1,0,2
2024-12-31,BB_B,O_NEGATIVE,WHOLE_BLOOD,2,0,0,0,1,0,1
